type	lat	lon	name	desc
T	6.393600000	-10.583460000		
T	6.393670000	-10.583370000		
T	6.393740000	-10.583300000		
T	6.393800000	-10.583220000		
T	6.393860000	-10.583150000		
T	6.394000000	-10.582980000		
T	6.394080000	-10.582890000		
T	6.394140000	-10.582810000		
T	6.394200000	-10.582730000		
T	6.394260000	-10.582650000		
T	6.394370000	-10.582480000		
T	6.394430000	-10.582380000		
T	6.394480000	-10.582270000		
T	6.394560000	-10.582130000		
T	6.394620000	-10.581980000		
T	6.394690000	-10.581830000		
T	6.394750000	-10.581670000		
T	6.394800000	-10.581560000		
T	6.394990000	-10.581060000		
T	6.395500000	-10.579710000		
T	6.396130000	-10.578020000		
T	6.396400000	-10.577330000		
T	6.396440000	-10.577210000		
T	6.396530000	-10.577010000		
T	6.396620000	-10.576800000		
T	6.396800000	-10.576410000		
T	6.397160000	-10.575650000		
T	6.398440000	-10.573080000		
T	6.398640000	-10.572660000		
T	6.398700000	-10.572550000		
T	6.398750000	-10.572440000		
T	6.398800000	-10.572340000		
T	6.398860000	-10.572250000		
T	6.398920000	-10.572170000		
T	6.398970000	-10.572090000		
T	6.399030000	-10.572010000		
T	6.399090000	-10.571930000		
T	6.399140000	-10.571860000		
T	6.399210000	-10.571790000		
T	6.399270000	-10.571720000		
T	6.399340000	-10.571660000		
T	6.399390000	-10.571600000		
T	6.400280000	-10.570770000		
T	6.400390000	-10.570660000		
T	6.400500000	-10.570540000		
T	6.400600000	-10.570420000		
T	6.400700000	-10.570290000		
T	6.400810000	-10.570120000		
T	6.400910000	-10.569960000		
T	6.401010000	-10.569780000		
T	6.401090000	-10.569610000		
T	6.401600000	-10.568470000		
T	6.401650000	-10.568320000		
T	6.401700000	-10.568170000		
T	6.401750000	-10.568030000		
T	6.401790000	-10.567880000		
T	6.401830000	-10.567730000		
T	6.401860000	-10.567590000		
T	6.401880000	-10.567470000		
T	6.401890000	-10.567440000		
