Artwork,Artist,Contemporary Art,Artwork date,Censorship year,Social,Kind of censorship,Link,Date of publication,Typology,Google Rank,,,,,,,,,,,,,,,,,,,,,,
The Little Mermaid,Edvard Eriksen,No,1913,2016,Facebook,Removed post,https://www.latimes.com/entertainment/arts/miranda/la-et-cam-is-social-media-good-for-art-20160517-snap-htmlstory.html,23 jun 2016,Newspaper,77,,,,,,,,,,,,,,,,,,,,,,
Nudity Related Artwork,Anders Zorn,No,Unknown,Unknown,Facebook,Removed post,https://publichouseofart.com/blog/art-censored-by-social-media,4 dec 2016,Media art company,79,,,,,,,,,,,,,,,,,,,,,,
Hellmouth (the hours of Catherine of Cleves),Catherine of Cleves,No,1440,2015,Facebook,Suspended account,https://publichouseofart.com/blog/art-censored-by-social-media,4 dec 2016,Media art company,79,,,,,,,,,,,,,,,,,,,,,,
Ice Cream,Evelyne Axell,Yes,1964,2016,Facebook,Removed post,https://publichouseofart.com/blog/art-censored-by-social-media,4 dec 2016,Media art company,79,,,,,,,,,,,,,,,,,,,,,,
The Little Mermaid,Edvard Eriksen,No,1913,2016,Facebook,Removed post,https://publichouseofart.com/blog/art-censored-by-social-media,4 dec 2016,Media art company,79,,,,,,,,,,,,,,,,,,,,,,
Nudity Related Artwork,Anders Zorn,No,Unknown,Unknown,Facebook,Removed post,https://bigthink.com/Picture-This/is-facebook-too-conservative-for-contemporary-art,17 sep 2011,Multimedia web portal,81,,,,,,,,,,,,,,,,,,,,,,
The Origin of the World,Gustave Courbet,No,1886,2011,Facebook,Deleted account,https://bigthink.com/Picture-This/is-facebook-too-conservative-for-contemporary-art,17 sep 2011,Multimedia web portal,81,,,,,,,,,,,,,,,,,,,,,,
The Origin of the World,Gustave Courbet,No,1886,2011,Facebook,Deleted account,https://www.widewalls.ch/art-censorship-facebook-philadelphia-museum-of-art/,11 Feb 2016,Online art gallery,83,,,,,,,,,,,,,,,,,,,,,,
Nude (227N),Edward Weston,No,1936,2015,Facebook,Suspended account,https://www.widewalls.ch/art-censorship-facebook-philadelphia-museum-of-art/,11 Feb 2016,Online art gallery,83,,,,,,,,,,,,,,,,,,,,,,
Ice Cream,Evelyne Axell,Yes,1964,2016,Facebook,Removed post,https://www.widewalls.ch/art-censorship-facebook-philadelphia-museum-of-art/,11 Feb 2016,Online art gallery,83,,,,,,,,,,,,,,,,,,,,,,
The Origin of the World,Gustave Courbet,No,1886,2011,Facebook,Deleted account,https://www.designboom.com/art/facebook-on-trial-censorship-courbet-02-06-2018/,6 Feb 2018,Design magazine,84,,,,,,,,,,,,,,,,,,,,,,
The Origin of the World,Gustave Courbet,No,1886,2011,Facebook,Deleted account,https://www.france24.com/en/20180201-france-facebook-art-censorship-culture-origin-world-trial-over-courbet-vagina-painting,2 jan 2018,International news broadcaster,85,,,,,,,,,,,,,,,,,,,,,,
Make America Great Again,Ilma Gore,Yes,2016,Unknown,Facebook,Suspended account,https://www.bostonglobe.com/arts/art/2017/04/25/mfa-among-museums-hit-instagram-censorship/tbPEbiVJOle06PzS71giuL/story.html,2 May 2017,Newspaper,90,,,,,,,,,,,,,,,,,,,,,,
Hellmouth (the hours of Catherine of Cleves),Catherine of Cleves,No,1440,2015,Facebook,Suspended account,https://www.bostonglobe.com/arts/art/2017/04/25/mfa-among-museums-hit-instagram-censorship/tbPEbiVJOle06PzS71giuL/story.html,3 May 2017,Newspaper,90,,,,,,,,,,,,,,,,,,,,,,
Reclined Nude,Amedeo Modigliani,No,1917,2015,Facebook,Removed post,https://www.bostonglobe.com/arts/art/2017/04/25/mfa-among-museums-hit-instagram-censorship/tbPEbiVJOle06PzS71giuL/story.html,29 Apr 2017,Newspaper,90,,,,,,,,,,,,,,,,,,,,,,
Ice Cream,Evelyne Axell,Yes,1964,2016,Facebook,Removed post,https://www.bostonglobe.com/arts/art/2017/04/25/mfa-among-museums-hit-instagram-censorship/tbPEbiVJOle06PzS71giuL/story.html,1 May 2017,Newspaper,90,,,,,,,,,,,,,,,,,,,,,,
Imogen and Twinka,Judy Dater,Yes,2015,2017,Instagram,Removed post,https://www.bostonglobe.com/arts/art/2017/04/25/mfa-among-museums-hit-instagram-censorship/tbPEbiVJOle06PzS71giuL/story.html,28 Apr 2017,Newspaper,90,,,,,,,,,,,,,,,,,,,,,,
Sunbath (Alta on the Beach),Imogen Cunningham,No,1925,2017,Instagram,Removed post,https://www.bostonglobe.com/arts/art/2017/04/25/mfa-among-museums-hit-instagram-censorship/tbPEbiVJOle06PzS71giuL/story.html,27 Apr 2017,Newspaper,90,,,,,,,,,,,,,,,,,,,,,,
Triangles,Imogen Cunningham,No,1928,2017,Instagram,Removed post,https://www.bostonglobe.com/arts/art/2017/04/25/mfa-among-museums-hit-instagram-censorship/tbPEbiVJOle06PzS71giuL/story.html,26 Apr 2017,Newspaper,90,,,,,,,,,,,,,,,,,,,,,,
Women Lovers ,Charles Blackman,Yes,1980,2017,Facebook,Blocked Advertising,https://www.bostonglobe.com/arts/art/2017/04/25/mfa-among-museums-hit-instagram-censorship/tbPEbiVJOle06PzS71giuL/story.html,30 Apr 2017,Newspaper,90,,,,,,,,,,,,,,,,,,,,,,
Unknown,Alexandra Marzella,Yes,Unknown,Unknown,Instagram,Suspended account,https://www.thefader.com/2014/12/23/6-creatives-on-the-consequences-of-social-media-censorship,23 dec 2014,Magazine,92,,,,,,,,,,,,,,,,,,,,,,
Unknown,Rachel Libeskind,Yes,Unknown,2014,Instagram,"Removed post, suspended account",https://www.thefader.com/2014/12/23/6-creatives-on-the-consequences-of-social-media-censorship,23 dec 2014,Magazine,92,,,,,,,,,,,,,,,,,,,,,,
Unknown,Petra Collins,Yes,Unknown,Unknown,Instagram,Deleted account,https://www.thefader.com/2014/12/23/6-creatives-on-the-consequences-of-social-media-censorship,23 dec 2014,Magazine,92,,,,,,,,,,,,,,,,,,,,,,
Nudity Related Artwork,Joanne Leah,Yes,Unknown,2015,Instagram,Deleted account,https://observer.com/2018/09/joanne-leahs-twofacedkitten-instagram-nudity-rule/,19 sep 2018,Magazine,93,,,,,,,,,,,,,,,,,,,,,,
Scorched Wings,Kamille Corry,Yes,2013,Unknown,"Facebook, Twitter",Suspended account,https://www.linkedin.com/pulse/how-social-media-censorship-editing-our-world-view-what-uri%C3%A9l-dana,17 may 2018,Social platform,97,,,,,,,,,,,,,,,,,,,,,,
