Post;Views post;Users;Comment;Likes;Value
6;1000000; @mhaggghdtgg;tu stai male;98;0
6;1000000; @fede.delgiudice;Io sono sconvolta;101;0
6;1000000; @martasorridimii_;NON. CI. CREDO.;83;0
6;1000000; @nomecognome775;qui siamo tutti gay e ci innammoriamo di tutte le razze ciao salvini;51;0
6;1000000; @castororosa;bella raga mo mi tocca insultarlo pure su Tik Tok;122;0
6;1000000; @theclownery_;Che clown 🤡🤡🤡;96;0
6;1000000; @pinoschito;Vai via nullafacente;73;0
6;1000000; @marco1mircoo2;TORNI AL SUO PAESE;59;0
6;1000000; @leonardogiordanoo;CLOWN VAI VIA;94;0
6;1000000; @user1752313829045;Mi avvalgo della facoltà di non commentare [cry][cry];59;0
6;1000000; @alessiaiemma;Non ci posso credere🤦🏻‍♀🤦🏻‍♀;42;0
6;1000000; @ithinkiveacrushonpizza;Se mia mamma mi becca a mettere like a sto video(cosa che nn ho fatto)mi ritira il telefono per tutta la vita;77;0
