# value;Name;Date;PriceUSD;Supply Currency;Mrkt Cap
391;Bitcoin Gold;01/08/18;25,7;16.875.845;433.348.215
392;Bitcoin Gold;01/09/18;22,2;16.931.320;375.139.911
393;Bitcoin Gold;01/10/18;25,4;16.985.195;430.747.866
394;Bitcoin Gold;01/11/18;26,5;17.040.408;451.204.972
395;Bitcoin Gold;01/12/18;18,4;17.094.245;313.896.105
396;Bitcoin Gold;01/01/19;13,0;17.149.720;222.314.982
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
